name,latitude,longitude,locatable_type,image,description,address
Fraser Hall,38.957152,-95.24356,Building,,"This building of cottonwood and silverdale limestone opened March 6, 1967. It sits on the second-highest point on Mount Oread — 1,031 feet — and is visible for miles. (The highest point is 1,037 feet, between Joseph R. Pearson Hall and Carruth-O'Leary Hall on West Campus Road.) Construction began in March 1965 on the $2.2 million structure, designed by State Architect James Canole and T.R. Griest of Topeka. It is 206 by 67 feet and has eight stories; its size of 96,000 square feet is more than twice that of the beloved 1872 building whose name it retained, which was located about 50 feet west. It houses the anthropology, sociology and psychology departments; the clinical, experimental and social psychology and somatopsychology rehabilitation divisions; the Psychological Clinic; classrooms; a reading room; and faculty, staff and administrative offices.

It replaced the KU landmark built in 1872 and named in 1877 the University Building, then in 1897 Fraser Hall in honor of John Fraser, second chancellor (1867-74). That limestone building with its signature towers and red roof was designed by John G. Haskell and housed virtually all university departments, administrative offices, a chapel/theater, lecture halls, classrooms and, at various times in its basement and attic, gymnasiums.

However, within 10 years of its opening its foundations and structural soundness were causing concerns, and by the early 1960s these had become irreparably weakened and unstable. The walls had settled and cracked badly, leaks were rampant, and the ventilation and electrical systems were hopelessly outdated. In 1962 the regents, urged by Chancellor W. Clarke Wescoe, authorized Fraser’s replacement.

The design of the new hall, to be built about 50 feet east and slightly north of the original site and retaining versions of the old towers, attempted “to avoid current clichés and experimental construction” and to “express a quiet dignity and cleanness of line,” the architects stated in March 1965. Instead, it caused howls of anguish from faculty, students, alumni, other architects and state officials that continued after Old Fraser’s razing in August 1965. Architectural details such as doors, railings, balusters and other pieces were salvaged and have been used in the Kansas Union, the Adams Alumni Center and other campus structures.","1415 Jayhawk Blvd, Lawrence, KS 66045"
Gertrude Sellards Pearson,38.965134,-95.241801,Building,,"GSP: 377 men and women
Crossbar connects to Corbin

Opened in 1955 as a women's residence hall, GSP is named for Gertrude Sellards Pearson, a 1901 alumna who with her husband, Joseph R. Pearson, in 1945 donated money to supplement the construction of five residence and scholarship halls. It now forms a single living unit with Corbin, 420 W. 11th St., a women's hall. The two share a dining center and Academic Resource Center, and a $13.1 million renovation in 2011-12 created suites and studios in GSP. The halls are on the site of North College, KU’s first building, constructed in 1866.","500 W. 11th St, Lawrence, KS 66045"
Grace Pearson Scholarship Hall,38.958868,-95.242048,Building,,"Funded by the gift of Joseph R. and Gertrude Sellards Pearson and named in honor of his sister, it is adjacent to and mirrors Douthart Hall, also designed by Raymond Coolidge of Topeka. The three-story brick building opened in fall 1955 as a women’s hall, but in fall 1960 it became a men’s hall. It now houses 48 men in four-person suites.","1335 Louisiana St, Lawrence, KS 66044"
Green Hall,38.956517,-95.254171,Building,,"This five-story building west of Naismith Drive and Murphy Hall opened for classes Oct. 17, 1977, and was dedicated Feb. 20-21, 1978. It retained the name of the 1905 hall built on Jayhawk Boulevard to house the School of Law and named in honor of Dean James W. “Uncle Jimmy” Green. It was designed by Lawrence R. Good & Associates of Lawrence; in 1987 former Chancellor and Mrs. W. Clarke Wescoe donated “Tai Chi Figure,” a large sculpture by Zhu Ming, which was sited near the hall’s entrance.

Green Hall houses the School of Law administrative and faculty offices; class and seminar rooms and moot courtrooms; the Legal Aid Clinic; Career Services and other student services; the Raymond F. Rice Reading Room; the Wheat Law Library; and the student publications Kansas Law Review and the Kansas Journal of Law and Public Policy.","1535 W. 15th St, Lawrence, KS 66045"
Hall Center for the Humanities,38.955661,-95.245689,Building,,"The center, dedicated April 9, 2005, incorporates nine limestone arches and the walls from KU’s oldest surviving structure, the 1887 Powerhouse designed by John G. Haskell. The center includes a 120-seat conference room, seminar room and offices for Hall Center staff and research fellows. It was built with a $4.07 million gift from the Hall Family Foundation and state and private funds.

Founded in 1976 by the Kansas Board of Regents, the Center for Humanistic Studies at the University of Kansas became the Hall Center for the Humanities in 1983. Between 1984 and 2005, it was based in the Watkins Home.","900 Sunnyside Ave, Lawrence, KS 66045"
Hambleton Hall,38.948923,-95.261498,Building,,"This 1983 addition to Moore Hall includes an auditorium seating 45 and is named for William W. Hambleton, alumnus/faculty member, state geologist and KGS director 1970-87. It houses the Publication Sales division of the KGS, the Data Access and Support program and public data and library services.","1930 Constant Ave, Lawrence, KS 66047"
Hashinger Residence Hall,38.954054,-95.25887,Building,,"This 1962 Daisy Hill residence hall, named for Margaret Battenfeld Hashinger, houses about 370 men and women since major renovations in 2005-06. It has a performing-arts focus and offers studio, rehearsal and performance space for residents.

Hashinger, who died in 1975, was a major KU benefactor. In 1940 she and her first husband, J.R. Battenfeld of Kansas City, donated the funds for constructing and maintaining Battenfeld Scholarship Hall in memory of their son John Curry Battenfeld, killed in a car accident in 1939. They also funded an auditorium at KU Medical Center in memory of son Jesse R. Jr., a physician and 1937 alumnus killed in World War II. In 1952 she married Dr. Edward Hashinger, a longtime member of the KU medical school faculty.","1632 Engel Road, Lawrence, KS 66045"
Haworth Hall,38.955733,-95.248466,Building,,"The first Haworth Hall opened in fall 1909 and housed the departments of geology and mineralogy, whose chair 1892-1920 was Erasmus Haworth. An 1881 and 1884 alumnus who founded the Kansas Geological Survey in 1894, Haworth who was known to his students as “Daddy.” 

After the 1943 opening of Lindley Hall, Haworth was remodeled for the departments of anatomy, biochemistry and physiology. When the medical programs moved to Kansas City, Kan., biology and other sciences remained. In the late 1960s, when a humanities building was planned on the site, Haworth and its neighbor Robinson Gymnasium — both outdated and outgrown — were razed and new buildings retaining their names were built on the south slope of the Hill.

State Architect James Canole and Peters, Harrison & Associates of Lawrence designed the eight-story, $3.5 million building of dark buff brick and cottonwood limestone for the newly created Division of Biological Sciences. It opened in 1969; a major addition designed by Peters, Kubota & Glenn of Lawrence was dedicated April 12, 1986.

A reorganization in 2008 dissolved the division and retained these departments in the College of Liberal Arts & Sciences: molecular biosciences (biochemistry; microbiology; molecular, cellular and developmental biology; neurobiology; and genetics) and ecology and evolutionary biology (programs in ecology and population biology, entomology, plant biology and systematics, macroevolution and biodiversity); and the undergraduate biology program.

Haworth houses the departments’ administrative and staff offices; a greenhouse and electron microscope; laboratories, classrooms and an auditorium; the Genetics Program; and the Beach Center on Disability.

The John T. Stewart Children’s Center, dedicated in September 1970, adjoins Haworth on the east; it is named for a 1911 alumnus and Wellington banker and was the gift of his son and daughter-in-law, John T. III and Linda Bliss Stewart, also alumni. It houses offices for the Sunnyside Infant-Toddler Center and the Schiefelbusch Institute for Life Span Studies, laboratories, graduate-student offices and research rooms.","1200 Sunnyside Ave, Lawrence, KS 66045"
Hill Engineering Research and Development Center,38.946229,-95.268722,Building,,"Completed in June 2013 by the School of Architecture, Design & Planning’s Studio 804 design/build class, this advanced research facility houses KU EcoHawks, a School of Engineering student program that focuses on sustainable energy approaches for automobiles and infrastructure. The open structure, divided into two enclosed pods and one open-air pod, incorporates aluminum recycled from a Wichita airplane manufacturer and glass from a Kansas City, Mo., building project, Aerogel insulating panels, and photovoltaic panels on the entry canopy.","2035 Becker Drive, Lawrence , KS 66045"
Hilltop Child Development Center,38.953782,-95.255954,Building,,"This $3.3 million, 18,000-square-foot facility opened south of Burge Union in August 2000. It offers day care and educational programs for toddlers through sixth-graders on site as well as programs at three Lawrence elementary schools. Children of students, faculty, staff and affiliates may enroll.

In summer 2009, construction was completed on the second of two new wings. The first, the east wing, has three classrooms and was finished in August 2008. The south wing has two rooms for preschool and kindergarten pupils. Student fees and university funds largely funded the new facilities, which increased enrollment by about 85 pupils.

Hilltop was established in the Wesley Building behind Smith Hall in August 1972 after protests led by the February Sisters demanded better campus services for women, including child care.

Approximately 260 pupils.","1605 Irving Hill Road, Lawrence, KS 66045"
International House,38.961599,-95.242954,Building,,"International House, a residence for visiting scholars, was dedicated Feb. 9, 2008. Formerly the home of longtime business professor Frank Pinet and his family, the house was given to the university in 2001 and had been a residence and offices for visiting faculty and others.

The renovated, furnished house offers five private bedrooms and shared living areas that include a kitchen, dining room, gathering rooms, office space and laundry facilities. A first-floor gathering room is named for Diana Carlin, former dean of the Graduate School and International Programs, who played a key role in establishing International House. Alumni Tom and Jann Rudkin of Los Gatos, Calif., gave $250,000 to KU Endowment to fund remodeling of the historic two-story home.","704 W. 12th St, Lawrence, KS 66044"
Jayhawker Towers Apartments,38.956624,-95.255472,Building,,"Towers A-D: 6 floors, basement
Tower E: 2 floors
800 men and women

This apartment complex, opened Sept. 30, 1969, was bought by KU in 1980. It houses 800 single nontraditional, upper-class or transfer students in four towers; a fifth tower has a service center, commons and Academic Resource Center. All apartments are two-bedroom and shared by either two or four residents. The project, designed by Woodward & Cape of Dallas, was the brainchild of alumni K.S. Adams, W.W. Keeler, and Stanley Learned.

Since fall 2009, major renovations totaling about $14 million were done in Tower A and Tower D. The project, designed by Slemmons Associates of Topeka, includes new windows, wiring, air-conditioning, and elevators as well as remodeled interiors. Renovations of Towers B and C and the construction of a community center will proceed at a later date.","1603 W. 15th St, Lawrence, KS 66045"
Joseph R. Pearson Hall,38.962432,-95.250578,Building,,"One of five residence and scholarship halls funded by a 1945 bequest from Joseph R. and Gertrude Sellards Pearson, it was designed by State Architect John E. Brink and opened in January 1959 as a men’s hall; it closed in the early 1990s. In 2000, after major additions and renovations costing $14.1 million and designed by Gould Evans Associates, the School of Education moved in. Founded in 1909, the school had been housed in Bailey Hall since 1956; before that it was scattered in several campus buildings.

JRP houses administrative and academic offices for undergraduate and graduate programs in psychology and research in education, special education, curriculum and teaching, and educational leadership and policy studies; staff and faculty offices; counseling, advising and placement centers; and research, resource and technology centers.","1122 West Campus Road, Lawrence, KS 66045"
K.K. Amini Scholarship Hall,38.958862,-95.241454,Building,,"Named for Koli K. \K.K.\ Amini, a 1949 petroleum engineering graduate whose gift of $1 million funded its construction, the hall was built in 1992. It houses 50 men in three- or four-person suites. Gould Evans Associates of Lawrence designed it and its twin, Margaret Amini Scholarship Hall.","1318 Louisiana St, Lawrence, KS 66044"
Kansas Union,38.959217,-95.243462,Building,,"The need for a central meeting, entertainment and food service building had been discussed for several years before planning began for a union and stadium to honor the students, faculty, staff and alumni who died in World War I. Fund-raising for the Million Dollar Drive began in late 1920, and by late 1921 the first sections of a new stadium were completed on the site of McCook Field below Marvin Grove. The hillside site for a union building to the southeast was selected so that the structures would be visible to each other.

The expense of the stadium, dedicated in 1922, drained the funding pool, so ground was not broken for the union until commencement 1925. The original brick and limestone building, designed by Irving K. Pond of the Chicago architectural firm Pond & Pond, was 80 by 135 feet when it opened in September 1927, but it was unfinished inside; lounges, game rooms, a cafeteria and a ballroom were completed over the next decade as money permitted. Major additions completed in 1952 and 1961 doubled the building’s size. 

An arson fire April 20, 1970, believed to be another protest action in a turbulent spring, gutted the two upper floors of the original central section and caused more than $1 million in damage, but repairs were completed the next year. Beginning in the late 1980s, three extensive renovations costing $6.3 million were undertaken, expanding and improving mechanical systems, food service, office space and outside amenities.

Both the Kansas Union and the Burge Union are operated by a board of directors comprising university students, faculty, alumni and staff. Student Union Activities plans and manages concerts, film series, special observances and other functions. Student fees finance virtually all programs and renovations. 

By levels:
Levels 5 and 6 have meeting and reception rooms, such as the Malott, Centennial, Kansas, Big 12 and Jayhawk rooms; the ballroom; and Woodruff Auditorium, named for Laurence C. Woodruff, registrar and dean of students in the 1940s and 1950s. The Centennial Room is decorated with artifacts from Old Fraser, including the entry doors and doors used as paneling; arched and etched-glass windows; spindles, shutters, trim and molding, and hardware; and busts.

Level 4 is the main floor, opening off Jayhawk Boulevard. It has lounges; a coffee bar; a gallery; a convenience shop; Union Programs/SUA offices; catering, travel, banking and ticket services; the KU Card Center; the Student Involvement and Leadership Center, which houses student government, resource, counseling, outreach, social and service organizations; and Alderson Auditorium, named for Donald K. Alderson, dean of men and dean of student services 1948-81.

Level 3 holds the food service and eating areas of the Market and the Impromptu Cafe; meeting alcoves; the business and human relations offices; and the History Gallery, comprising large display boards of notable university personalities and events.

Level 2 has the KU Bookstore, selling texts, computers, supplies, souvenirs and memorabilia; Jayhawk Ink, providing desktop publishing services and selling books, magazines and stationery; and the Tech Shop.

Level 1 has the Hawk’s Nest lounge, the Jaybowl and an engraving service.

The “Traditions Tower” holding the west staircase is decorated with plaques honoring student scholarship and service award winners and faculty and staff recognitions. On Level 6 are a plaque and photographs of the 130 university men and women who died in World War I. Displays of various Jayhawks, the origin of the “Rock Chalk” chant, Old Fraser artifacts and other memorabilia line the stairwell.","1301 Jayhawk Blvd, Lawrence, KS 66045"
Krehbiel Scholarship Hall,38.959655,-95.240913,Building,,"Alumnus Carl Krehbiel of Moundridge, Kan., donated $4 million to KU Endowment to fund a men’s scholarship hall in honor of his parents, alumni Kathyrn Krehbiel and the late Floyd H. Krehbiel. Carl and Floyd Krehbiel lived in scholarship halls as students.

The 18,000-square-foot hall, housing 50 students in three floors, is immediately north of Dennis E. Rieger Scholarship Hall and is a mirror image of its design by Treanor Architects of Lawrence. This incorporates characteristics of the Queen Anne style common in the surrounding Oread neighborhood. Carl Krehbiel also provided a $400,000 maintenance fund for the hall, which was dedicated Sept. 20, 2008.

50 men","1301 Ohio St, Lawrence, KS 66044"
KU Endowment Building,38.951485,-95.263051,Building,,"KU Endowment, established in 1891, was the first foundation of its kind at a U.S. public university, and it remains one of the largest. It is independent and nonprofit and is the official fund-raising and fund-management organization for KU; it oversees gifts, bequests, endowments, property and other assets for the university.

For many years its headquarters were on the main campus, but in 1976 it moved to Irvin Youngberg Hall on west campus, a building named for the endowment's longtime executive secretary. The association’s staff and services continued to expand, and in April 1998 it moved to this building, a $5 million, 52,000-square-foot hall designed by Nearing Staats Prelogar Jones of Prairie Village.","1891 Constant Ave, Lawrence, KS 66047"
Kurata Thermodynamics Laboratories,38.949249,-95.26515,Building,,"The 5,000-square-foot building, dedicated Oct. 27, 1990, was designed by Hicks-Messick & Associates of Lawrence. It is named for Fred Kurata, a professor of chemical and petroleum engineering 1947-78 who held two distinguished professorships and was a leader in thermodynamics research. This building replaced facilities near 15th and Iowa streets that were razed when the Lied Center was built. It houses experimental and analytical labs; safety areas; computer and conference areas; a library; and mechanical areas.","2330 Crowell Drive, Lawrence, KS 66047"
Learned Hall,38.958128,-95.253378,Building,,"Construction continues on the second of two structures built as part of an $80 million expansion of the School of Engineering complex. An extension of the Measurement, Materials & Sustainable Environment Center, it will be three stories and 110,000 square feet. It will extend west and south to the area formerly occupied by Burt Hall, razed to make room for the new structure.

The project received initial funding of $35 million in bonding authority through the University Engineering Initiative Act of 2011.  A combination of donor gifts through KU Endowment, and funds from the KU Center for Research, industry partners and other university funds will leverage the state's investment. 

When completed in summer 2015, the facility will have six multimedia, active-learning classrooms, eight teaching laboratories, four shared research spaces, and individual research spaces for new faculty. It will also contain the Engineering Career Center, undergraduate student recruitment and retention services, student meeting rooms and group offices, informal study areas, and graduate student offices.","1536 W. 15th Street, Lawrence , KS 66045"
Learned Engineering Expansion Phase 2,38.957397,-95.253994,Building,,"Civil engineering was among the earliest courses taught at KU; electrical engineering was added in 1887, and in 1891 the School of Engineering was founded. Its first dean was Frank O. Marvin, son of third chancellor James Marvin. Departments of chemical, mechanical, mining and architectural engineering were added during his tenure, and in 1927 the school was renamed to Engineering and Architecture. In 1909, Marvin Hall was completed to house the School of Engineering. By the late 1940s, when the new Fowler Shops opened south of Lindley and Marvin halls, an expanded engineering school complex was already planned for what was then the west edge of campus.

The first building in the complex, of yellow-brick and crab-orchard limestone and designed by Brinkman & Hagan, opened in 1963 and was named for Stanley Learned (1902-95), a Lawrence native, 1924 civil engineering graduate and KU benefactor who was president and CEO of Phillips Petroleum Co. in Bartlesville, Okla. In 1974 the first of several additions was made, two more floors and a five-story attached building. Learned now houses the departments of aerospace engineering; chemical and petroleum engineering; civil, environmental and architectural engineering; and mechanical engineering; faculty and staff offices; research and testing labs; and student support services.","1530 W. 15th St, Lawrence, KS 66045"
Lewis Residence Hall,38.95515,-95.258191,Building,,"This hall was partly funded by the estate of Lawrence merchant and philanthropist Luther N. Lewis (1865-1933) and his widow, Lucene Barker Lewis, who died in 1956; both attended KU in the 1880s. It opened in spring 1960 and housed 432 women; major renovations were done in 1998-99. It now houses about 280 men and women; each floor, or “house,” honors a person or tradition of excellence at KU. In 1983 Ekdahl Dining Commons adjoining Lewis was opened.

280 men and women?","1530 Engel Road, Lawrence, KS 66045"
Library Annex,38.952231,-95.27256,Building,,"The annex, designed by PGAV Architects of Westwood and opened in 2006, can house up to 1.6 million volumes from the KU Libraries’ collections. The climate-controlled storage area has nearly 7,900 square feet of shelving in units 35 feet tall. Materials stored here are cataloged and retrievable on request within 24 hours.","1880 Westbrooke Drive, Lawrence, KS 66044"
Lied Center,38.954795,-95.263062,Building,,"The center, which opened in September 1993, was built largely with $10 million from the Lied Foundation Trust and is dedicated to Ernst M. and Ida K. Lied, parents of Ernst F. Lied (d. 1980). The younger Lied attended KU 1923-25; he owned a car dealership in Omaha and was a real-estate investor in Las Vegas.

Henningson, Durham & Richardson of Omaha were the architects for the $14.6 million center, which has a 2,020-seat auditorium for musical, dance and theatrical performances, lectures and symposia; rehearsal and dance studios; ticket office; and administrative and educational offices. A $300,000 project completed in March 2011 added the Kemper Foyer of 1,800 square feet, expanding the lobby and reception and meeting spaces. The William T. Kemper Foundation financed the addition.

The Bales Organ Recital Hall, dedicated in October 1996, adjoins the center on the northwest and shares a lobby. The $1.5 million hall was built with gifts from Dane Bales, 1941 business alumni, and Polly Roth Bales, 1942 music graduate, and from the Hansen Foundation of Logan, Kan. It was specially designed by Horst Terrell & Karst Architects of Topeka for its 35-foot organ, a Hellmuth Wolff, opus 40, three-manual instrument built by Wolff & Associés Ltée. of Laval, Quebec. It has a 72-foot ceiling and walls 2 feet thick; the stained-glass windows were designed by Peter G. Thompson, dean of fine arts. The hall seats 200.","1600 Stewart Drive, Lawrence, KS 66045"
Lindley Hall,38.958446,-95.25145,Building,,"Completed in 1943, the limestone hall was named for Ernest H. Lindley, chancellor 1920-39, who died shortly after retiring. It is sited on the crest of Mount Oread traversed by the Oregon Trail. Its Art Moderne design was by State Architect Roy Stookey, and limestone bas reliefs are by sculptor Bernard “Poco” Frazier. Its construction was delayed and complicated by World War II material shortages, which were alleviated only after Chancellor Deane W. Malott and other administrators committed the new building for military training; it was a barracks and mess hall for Army and Navy trainees until early 1946.

It was planned to house the mineral resources departments of geography, geology, chemical and petroleum engineering, mining and metallurgical engineering; the state and federal Geological Survey; and the astronomical observatory. From the mid-1970s on, engineering programs were moved to Learned and Eaton halls; the geological surveys and observatory also moved. Lindley now houses the departments of geology and geography, faculty and staff offices, classrooms and the Paleontological Institute.","Lawrence, KS 66045"
Lippincott Hall,38.957887,-95.244154,Building,,"This Greco-Roman columned stone building was designed by State Architect John F. Stanton and dedicated Nov. 3, 1905. By student request it was named for James Woods Green, for 41 years (1879-1919) dean of the School of Law. In 1978 a new, much enlarged law building was erected west of Murphy Hall on 15th Street. The old hall was renamed for Joshua Lippincott, the fourth chancellor, on Oct. 23, 1979; it now houses the Office of Study Abroad, the Applied English Center and the Wilcox Classical Museum. It was listed on the National Register of Historic Places in 1974.

The statue of “Uncle Jimmy” Green and a student, sculpted by Daniel Chester French and unveiled in 1924, remains at Lippincott. It was one of three memorials funded by the Million Dollar Drive that began in late 1920 and that also built Memorial Stadium and Kansas Union.","1410 Jayhawk Blvd, Lawrence, KS 66045"
Housing Maintenance Warehouse,38.956808,-95.26461,Building,,"This facility is used for construction and maintenance projects and storage of tools, equipment and supplies by the student housing department.","2303 Bob Billings Parkway, Lawrence, KS 66049"
Margaret Amini Scholarship Hall,38.959253,-95.241453,Building,,"Named for Margaret Wenski Amini, 1946 journalism graduate who with her husband, K.K. Amini, gave $1.5 million for its construction, the hall opened in 2000. It houses 52 women and is the architectural twin of the adjacent K.K. Amini Scholarship Hall.","1312 Louisiana St, Lawrence, KS 66044"
Marvin Hall,38.958427,-95.250251,Building,,"State Architect John F. Stanton designed this Oread limestone building, which opened in 1909 at what was then the extreme west end of campus. It was named for Frank O. Marvin, first dean of engineering (1891-1913), son of third chancellor James Marvin (1874-83) and a noted artist and musician. Engineering and architecture programs were based here and in several other campus buildings; they were consolidated as “new” Fowler Shops and other engineering workshops were built south of Marvin in ensuing decades. Learned Hall (1963) and its subsequent additions completed the process. 
 

In 1913 Goldwyn Goldsmith, who trained under Stanford White at McKim, Mead and White in New York, became first professor and head of the Department of Architecture in the School of Engineering, which was renamed the School of Engineering and Architecture in 1927.

After Learned Hall opened to house engineering programs, the architecture faculty remained in Marvin, and the School of Architecture and Urban Design was created in 1968; it was renamed Architecture and Urban Planning in 2007. In an administrative reorganization in 2009, several design departments from the defunct School of Fine Arts were incorporated into this school, and it was renamed the School of Architecture, Design and Planning.

By the mid-1970s new facilities had become imperative, and the decision was made to renovate Marvin. Gould Evans Associates of Lawrence, whose principals, Robert Gould and David Evans, are 1967 architecture alumni, was selected for the award-winning renovation that cost $2.8 million. It incorporated conference rooms and studios, classrooms, faculty and staff offices, and the dean’s office; some studios, craft shops and jury rooms are in Snow Hall. When the building was rededicated April 17, 1982, it was renamed for both Marvins, father and son.

In summer 2014, the Marvin Hall Forum, a $2.1 million, glass-clad addition to the rear of the second floor, was completed. It stands one story above ground level on concrete columns and comprises a commons space and an area for presentations that will seat 120. The addition’s walls are two layers of glass separated by about 3 feet to aid in heating and cooling; large, repositionable vertical louvers will be used to control the amount of light in the space. It was done by Studio 804, the School of Architecture’s design/build class, and paid for by private funds.","1465 Jayhawk Blvd, Lawrence, KS 66045"
Marvin Studios,38.957856,-95.250167,Building,,"This small, winged building south of Marvin Hall was designed by State Architects Ray Stookley and Charles L. Marshall and built in 1942 by Works Progress Administration and National Youth Administration crews with a technology of rammed earth and concrete bricks developed by engineering Professor W.C. McNown.

From the first known as “the Mud Hut,” it was a studio for engineering and fine arts students, and KANU/KFKU radio stations went on-air from studios there in 1952, after which it was known as Broadcasting Hall. The cryogenics laboratory there had two explosions in the summer of 1959, so it was moved to undeveloped west campus land. 

After engineering students moved to Learned Hall in 1963, textile weaving and silversmithing students retained studio space. KANU got a new expanded facility in September 2003, and architectural engineering studios and faculty moved into the building, renamed Marvin Studios.","1400 Hoch Auditoria Drive, Lawrence, KS 66045"
Max Kade Center,38.964336,-95.250815,Building,,"Bequeathed to KU by the estate of Dr. Mervin T. Sudler (1874-1956), Lawrence physician, professor of anatomy, and dean of the Medical School 1921-24, this limestone house was built for him in 1927 by the Kansas City architectural firm of Buckley & van Brunt. It housed Audio-Reader and Architectural Services; the nearby garage, known as the Shack,"" housed KJHK, the student radio station, from 1975 to 2010.

The home was renovated and opened in April 1992 as the center, which is supported by a foundation in New York established by pharmaceutical pioneer Max Kade (1882-1967). It has an apartment for a visiting professor, a library and a conference room.""","1134 W. 11th St. Lawrence, KS 66044"
McCollum Laboratories,38.947103,-95.262133,Building,,"Named for Burton McCollum (1880-1964), a 1903 graduate in electrical engineering who made pioneering discoveries in sound-wave exploration and geophysics, this interdisciplinary research facility was funded by his estate and by income from more than 30 patents. Now part of the Higuchi Biosciences Center on west campus, it opened in May 1971 and was expanded in 1973. State Architect James Canole oversaw the project. It houses the pharmaceutical chemistry department of the School of Pharmacy.","2095 Constant Ave, Lawrence, KS 66047"
McCollum Residence Hall,38.951887,-95.259471,Building,,"The largest residence hall, which is Y-shaped and houses 910 men and women, opened on Daisy Hill in 1965. It is named for brothers Elmer V. and Burton McCollum, alumni and distinguished scientists who grew up in Lawrence. It is an Honors Programs Residence.

Elmer V. McCollum (1879-1967) received a chemistry degree in 1903 and a master’s in 1904; Burton (1880-1964) completed his electrical engineering degree in 1903. Elmer, who received a doctorate from Yale and was a professor of biochemistry at Johns Hopkins University, discovered vitamins A and D; Burton became a geophysicist and helped pioneer the use of seismography to drill for oil.
 
McCollum is to be razed after completion of two five-story residence halls south of Templin Hall and north of Irving Hill Road on Daisy Hill. The freshman-focused halls will house about 350 students each. Construction on the $47.8 million project is to begin in January 2014 and is expected to be completed by June 2015. McCollum will be in use until then; after its demolition, the space will be used for surface parking.","1800 Engel Road, Lawrence, KS 66045"
Memorial Carillon and Campanile,38.960005,-95.246979,Building,,"A badly needed fieldhouse was among the proposals for a commemoration to honor members of the university community and alumni who died in World War II. Chancellor Deane Malott and others were determined to build a structure that was purely a memorial and was not designed to fill a need of the university, as had been done after World War I with the stadium and the union.

A bell tower was decided on, and a fund drive began as World War II ended. The campanile was dedicated May 27, 1951. Engraved on tablets in the Memorial Room at the campanile's base are the names of 277 KU alumni, students, faculty and staff who died in World War II. The ornamental bronze doors are by sculptor Bernard “Poco” Frazier.

Designed by architect Homer F. Neville, a student in the 1920s, and Edward B. Delk, the bell tower is 120 feet high and built of Kansas limestone. The carillon, played by keyboard-operated hammers, has 53 bells cast by an English foundry established in the 1360s. The bells chime the quarter hours and hours; concerts are performed by the university carillonneur, students and guest artists. A major renovation of the bells, the campanile and the grounds was completed in 1996.","1450 Memorial Drive, Lawrence, KS 66045"
Memorial Stadium,38.963616,-95.246464,Building,,"9 floors, basement

In 1889 students and faculty members organized the University Athletic Board to oversee competition in football, baseball and tennis with nearby colleges. KU’s games were played on fields at a city park on Massachusetts Street, and the board began trying to raise interest in a university stadium and a gymnasium. After Col. John James McCook, a Harvard-educated New York lawyer, gave the commencement address in 1890 and watched a faculty-student baseball game at the park, he donated $2,500 for a university playing field.

The university bought 12 acres in a gully northwest of the small campus from Lawrence founder and former Kansas Gov. Charles Robinson, and grading and construction began in spring 1892 on a regulation field running east-west and surrounded by a fence. The first football game at McCook Field was played Oct. 27, 1892, watched by spectators on the sidelines and in an 800-seat grandstand that was gradually expanded to seat about 10,000. A nearby hall was a dressing room for home and visiting teams.

By 1920 the facilities were rundown and inadequate, and Director of Athletics Forrest C. “Phog” Allen toured several other universities to gather ideas for a new facility. This coincided with the desire for a building or other facility to honor the 130 students and faculty members who died in World War I, including Lt. William T. Fitzsimons, an alumnus and doctor who was the first American officer killed in action.

The Million Dollar Drive fund-raising campaign began Nov. 18, 1920, just after KU’s football team — coached by Allen for this one year — came from behind to tie Nebraska 20-20. Invigorated by this amazing feat, students and others donated nearly $225,000 within a few weeks, and plans were made for a stadium, a student union and a statue commemorating “Uncle Jimmy” Green, the longtime law school dean who had died in 1919.

Allen liked the horseshoe-shaped stands, football field and track at Princeton University, and LaForce Bailey, professor of architecture, and Clement C. Williams, professor of civil engineering, designed a similar dual-purpose stadium. On May 10, 1921, about 4,000 male students and faculty tore down the rickety McCook stands and fence, and Chancellor E.H. Lindley broke ground for the new field, which ran north-south. The stadium was dedicated Nov. 11, 1922, before kickoff of the Kansas-Nebraska football game (Nebraska won 28-0). In April 1923, the first Kansas Relays, an invitational track and field event, were held.

Two seating sections were added to the original six in 1925, and in 1927 the “horseshoe” on the north end was added, covering the site of McCook Field and making the capacity 35,000.

Large spaces underneath the stands were used to house students immediately after World War II and later as art studios. In the 1960s additions to the stands raised the seating capacity to 51,500. In 1969 the track was named for Jim Hershberger, a track star, 1953 alumnus and university donor who is a member of the KU Athletic Hall of Fame. He donated $125,000 to replace the original cinders with an artificial surface. In 1970 artificial turf replaced the original grass field. 

In 1997 a two-year, $26 million renovation designed by Glenn Livingood Pezler Architects of Lawrence and HOK Sports of Kansas City, Mo., began. Funded largely by ticket surcharges, it included a new concourse, concession stands and restrooms; permanent light standards; new home locker room; new press box and media facilities; 36 suites; new elevators; and a video board. The stadium capacity now is 50,071.

In August 2008 the $31-million Anderson Family Football Complex opened adjacent to the stadium. Its name honors major contributions to the project from Dana and Sue Anderson and their son, Justin, and his wife, Jean.

In 2006, coinciding with groundbreaking for the new complex, the stadium playing field was named in honor of prominent donor Tom Kivisto of Tulsa, Okla. A former energy executive, Kivisto was a member of the KU basketball team from 1970 to 1974; earned academic All-American, All-Big Eight and academic All-Big Eight honors; and holds bachelor’s and master’s degrees from KU.","1101 Maine St, Lawrence, KS 66045"
